Filename,2024,kinase,ethic,Cosine Similarity
PMC514601.txt,0,0,0,0.0000
PMC516016.txt,1,1,0,0.8165
PMC549512.txt,0,0,0,0.0000
PMC516770.txt,0,0,0,0.0000
PMC514615.txt,0,0,0,0.0000
PMC535803.txt,0,0,0,0.0000
PMC521686.txt,0,0,0,0.0000
PMC314466.txt,0,7,0,0.5774
PMC314300.txt,0,5,0,0.5774
PMC548142.txt,0,0,0,0.0000
PMC521692.txt,0,0,0,0.0000
PMC314472.txt,0,0,0,0.0000
PMC555846.txt,0,0,0,0.0000
PMC546184.txt,0,0,1,0.5774
PMC546190.txt,0,0,0,0.0000
PMC555852.txt,0,8,0,0.5774
PMC340962.txt,0,0,0,0.0000
PMC544963.txt,0,0,0,0.0000
PMC503396.txt,0,0,0,0.0000
PMC552330.txt,1,1,0,0.8165
PMC544552.txt,0,0,0,0.0000
PMC549076.txt,0,0,0,0.0000
PMC553990.txt,0,0,0,0.0000
PMC553984.txt,0,0,0,0.0000
PMC509320.txt,0,0,0,0.0000
PMC549062.txt,0,0,0,0.0000
PMC552324.txt,0,0,0,0.0000
PMC544546.txt,0,0,0,0.0000
PMC497044.txt,0,0,2,0.5774
PMC551605.txt,0,2,0,0.5774
PMC555463.txt,0,0,3,0.5774
PMC509308.txt,0,0,0,0.0000
PMC521484.txt,0,0,0,0.0000
PMC521490.txt,0,0,1,0.5774
PMC543573.txt,0,0,0,0.0000
PMC554769.txt,0,0,0,0.0000
PMC497050.txt,0,0,0,0.0000
PMC551611.txt,0,1,0,0.5774
PMC554782.txt,0,0,0,0.0000
PMC544591.txt,0,0,0,0.0000
PMC524503.txt,0,0,1,0.5774
PMC539234.txt,0,0,0,0.0000
PMC524517.txt,0,1,0,0.5774
PMC544585.txt,0,0,0,0.0000
PMC524259.txt,0,0,0,0.0000
PMC535340.txt,0,0,0,0.0000
PMC554972.txt,0,0,0,0.0000
PMC533876.txt,0,0,0,0.0000
PMC546231.txt,0,4,0,0.5774
PMC517718.txt,0,0,1,0.5774
PMC514563.txt,0,0,3,0.5774
PMC544354.txt,0,0,0,0.0000
PMC546225.txt,0,0,0,0.0000
PMC533862.txt,1,55,0,0.5878
PMC517724.txt,0,0,1,0.5774
PMC449894.txt,0,0,0,0.0000
PMC545062.txt,0,0,0,0.0000
PMC524488.txt,0,0,1,0.5774
PMC520822.txt,0,0,0,0.0000
PMC545076.txt,0,0,2,0.5774
PMC546219.txt,0,0,0,0.0000
PMC534102.txt,0,0,0,0.0000
PMC539340.txt,0,0,0,0.0000
PMC509283.txt,0,0,0,0.0000
PMC539354.txt,0,0,0,0.0000
PMC509297.txt,0,0,0,0.0000
PMC544397.txt,0,0,0,0.0000
PMC545937.txt,0,0,0,0.0000
PMC526512.txt,0,1,0,0.5774
PMC535546.txt,0,0,0,0.0000
PMC535552.txt,0,0,0,0.0000
PMC522748.txt,0,0,0,0.0000
PMC193604.txt,0,0,0,0.0000
PMC406403.txt,0,0,0,0.0000
PMC550651.txt,0,0,0,0.0000
PMC368181.txt,0,0,0,0.0000
PMC550645.txt,0,0,0,0.0000
PMC521080.txt,0,0,0,0.0000
PMC368156.txt,0,0,0,0.0000
PMC528729.txt,0,0,1,0.5774
PMC529437.txt,0,0,0,0.0000
PMC551598.txt,0,0,2,0.5774
PMC529423.txt,0,0,0,0.0000
PMC544195.txt,0,0,8,0.5774
PMC521731.txt,0,3,0,0.5774
PMC538260.txt,0,0,0,0.0000
PMC423132.txt,0,0,11,0.5774
PMC548793.txt,0,0,0,0.0000
PMC538274.txt,0,1,0,0.5774
PMC538275.txt,0,0,0,0.0000
PMC538261.txt,0,1,0,0.5774
PMC521730.txt,0,0,0,0.0000
PMC423133.txt,0,1,0,0.5774
PMC551599.txt,0,0,0,0.0000
PMC544194.txt,0,0,0,0.0000
PMC529436.txt,0,0,0,0.0000
PMC528728.txt,0,0,0,0.0000
PMC368157.txt,0,1,0,0.5774
PMC521081.txt,0,0,1,0.5774
PMC368180.txt,0,0,0,0.0000
PMC406402.txt,0,0,0,0.0000
PMC550650.txt,0,0,0,0.0000
PMC535553.txt,0,0,1,0.5774
PMC193605.txt,1,1,0,0.8165
PMC522749.txt,0,0,0,0.0000
PMC535547.txt,0,0,0,0.0000
PMC544396.txt,0,0,0,0.0000
PMC526275.txt,0,0,0,0.0000
PMC509296.txt,0,0,0,0.0000
PMC539355.txt,0,0,2,0.5774
PMC545936.txt,0,0,1,0.5774
PMC534103.txt,0,0,1,0.5774
PMC509282.txt,0,1,0,0.5774
PMC526261.txt,0,0,2,0.5774
PMC539341.txt,0,0,0,0.0000
PMC545077.txt,1,0,0,0.5774
PMC520823.txt,0,0,1,0.5774
PMC546218.txt,0,20,0,0.5774
PMC449895.txt,0,0,0,0.0000
PMC517725.txt,0,2,0,0.5774
PMC524489.txt,0,0,0,0.0000
PMC545063.txt,0,0,1,0.5774
PMC544355.txt,0,0,0,0.0000
PMC514562.txt,0,2,0,0.5774
PMC533863.txt,0,2,0,0.5774
PMC546224.txt,0,0,0,0.0000
PMC517719.txt,0,0,1,0.5774
PMC546230.txt,0,0,0,0.0000
PMC533877.txt,0,0,0,0.0000
PMC514576.txt,0,41,0,0.5774
PMC509241.txt,0,3,0,0.5774
PMC554973.txt,0,0,0,0.0000
PMC535341.txt,0,0,0,0.0000
PMC548382.txt,0,0,0,0.0000
PMC524258.txt,0,0,0,0.0000
PMC524516.txt,0,0,1,0.5774
PMC524270.txt,0,0,0,0.0000
PMC544584.txt,0,1,0,0.5774
PMC544590.txt,0,1,0,0.5774
PMC554783.txt,0,0,2,0.5774
PMC539235.txt,0,0,0,0.0000
PMC524502.txt,0,0,2,0.5774
PMC543572.txt,0,0,0,0.0000
PMC521491.txt,0,0,0,0.0000
PMC551610.txt,0,0,1,0.5774
PMC554768.txt,0,0,0,0.0000
PMC522826.txt,0,0,1,0.5774
PMC552319.txt,0,0,0,0.0000
PMC551604.txt,0,0,0,0.0000
PMC497045.txt,0,0,0,0.0000
PMC521485.txt,0,0,0,0.0000
PMC509309.txt,0,0,0,0.0000
PMC509321.txt,0,0,0,0.0000
PMC553985.txt,0,0,0,0.0000
PMC544547.txt,0,0,0,0.0000
PMC552325.txt,0,0,0,0.0000
PMC549063.txt,0,0,0,0.0000
PMC549077.txt,0,2,0,0.5774
PMC544553.txt,0,0,1,0.5774
PMC554998.txt,0,0,1,0.5774
PMC552331.txt,0,0,1,0.5774
PMC553991.txt,0,0,0,0.0000
PMC544962.txt,0,0,0,0.0000
PMC503397.txt,0,0,0,0.0000
PMC340963.txt,0,0,1,0.5774
PMC555853.txt,0,0,0,0.0000
PMC546191.txt,1,0,2,0.7746
PMC546185.txt,0,0,0,0.0000
PMC555847.txt,0,0,2,0.5774
PMC548143.txt,2,30,0,0.6145
PMC314473.txt,0,0,0,0.0000
PMC521693.txt,0,0,0,0.0000
PMC520599.txt,0,6,0,0.5774
PMC314467.txt,0,0,0,0.0000
PMC521687.txt,0,0,1,0.5774
PMC314301.txt,0,0,0,0.0000
PMC528853.txt,0,0,0,0.0000
PMC535802.txt,0,0,0,0.0000
PMC516017.txt,0,3,0,0.5774
PMC535816.txt,1,0,1,0.8165
PMC516771.txt,0,0,0,0.0000
PMC514616.txt,0,0,0,0.0000
PMC516767.txt,0,0,0,0.0000
PMC516773.txt,0,0,0,0.0000
PMC514602.txt,0,0,0,0.0000
PMC535814.txt,0,3,0,0.5774
PMC521691.txt,0,0,0,0.0000
PMC314471.txt,0,0,0,0.0000
PMC549539.txt,0,0,2,0.5774
PMC548141.txt,0,2,0,0.5774
PMC516029.txt,0,3,0,0.5774
PMC521685.txt,0,1,0,0.5774
PMC314465.txt,0,0,0,0.0000
PMC546193.txt,0,1,0,0.5774
PMC555851.txt,0,0,0,0.0000
PMC340961.txt,0,0,0,0.0000
PMC544948.txt,0,0,0,0.0000
PMC555845.txt,0,0,1,0.5774
PMC546187.txt,0,0,2,0.5774
PMC393293.txt,0,0,0,0.0000
PMC503395.txt,0,0,0,0.0000
PMC544960.txt,0,0,0,0.0000
PMC439009.txt,0,0,0,0.0000
PMC516798.txt,0,0,1,0.5774
PMC517492.txt,0,0,0,0.0000
PMC340949.txt,0,0,0,0.0000
PMC549061.txt,0,0,0,0.0000
PMC552327.txt,0,0,0,0.0000
PMC522818.txt,0,0,0,0.0000
PMC554756.txt,0,0,0,0.0000
PMC553987.txt,0,7,0,0.5774
PMC549713.txt,0,0,0,0.0000
PMC553993.txt,0,0,1,0.5774
PMC544551.txt,0,2,0,0.5774
PMC549075.txt,0,0,0,0.0000
PMC522824.txt,0,0,0,0.0000
PMC544579.txt,0,2,0,0.5774
PMC551612.txt,0,0,0,0.0000
PMC546408.txt,1,0,0,0.5774
PMC521493.txt,0,0,0,0.0000
PMC532389.txt,0,0,0,0.0000
PMC521487.txt,0,0,0,0.0000
PMC497047.txt,0,0,0,0.0000
PMC549049.txt,0,7,0,0.5774
PMC551606.txt,0,0,1,0.5774
PMC449908.txt,0,0,0,0.0000
PMC544586.txt,0,0,0,0.0000
PMC524514.txt,0,0,4,0.5774
PMC524500.txt,0,0,0,0.0000
PMC539237.txt,0,0,1,0.5774
PMC554781.txt,0,0,0,0.0000
PMC544592.txt,0,0,0,0.0000
PMC535343.txt,0,0,4,0.5774
PMC554971.txt,0,0,0,0.0000
PMC553978.txt,0,0,0,0.0000
PMC546226.txt,0,12,0,0.5774
PMC533861.txt,0,0,0,0.0000
PMC545049.txt,0,8,0,0.5774
PMC514560.txt,0,0,0,0.0000
PMC544357.txt,0,0,0,0.0000
PMC514574.txt,0,0,0,0.0000
PMC533875.txt,0,0,3,0.5774
PMC546232.txt,0,0,0,0.0000
PMC520821.txt,0,0,0,0.0000
PMC545075.txt,0,0,0,0.0000
PMC514548.txt,0,0,4,0.5774
PMC545061.txt,0,0,0,0.0000
PMC517727.txt,0,0,0,0.0000
PMC449897.txt,0,0,0,0.0000
PMC534115.txt,0,3,0,0.5774
PMC545934.txt,0,19,0,0.5774
PMC539357.txt,0,0,0,0.0000
PMC509294.txt,0,1,0,0.5774
PMC544394.txt,0,8,0,0.5774
PMC524474.txt,0,0,0,0.0000
PMC539343.txt,0,0,0,0.0000
PMC526263.txt,0,0,0,0.0000
PMC509280.txt,0,0,0,0.0000
PMC534101.txt,0,0,1,0.5774
PMC449868.txt,0,0,0,0.0000
PMC517928.txt,0,0,0,0.0000
PMC193607.txt,0,0,0,0.0000
PMC535551.txt,0,2,0,0.5774
PMC535545.txt,0,1,1,0.8165
PMC538288.txt,0,0,0,0.0000
PMC550646.txt,0,0,0,0.0000
PMC550652.txt,0,0,0,0.0000
PMC385220.txt,0,0,0,0.0000
PMC406400.txt,0,0,1,0.5774
PMC521083.txt,0,0,0,0.0000
PMC523858.txt,0,0,0,0.0000
PMC529420.txt,0,1,0,0.5774
PMC368155.txt,0,0,0,0.0000
PMC521068.txt,0,0,0,0.0000
PMC529434.txt,0,0,0,0.0000
PMC538277.txt,1,11,0,0.6273
PMC467001.txt,4,0,1,0.7001
PMC423131.txt,0,1,0,0.5774
PMC406399.txt,0,0,0,0.0000
PMC368169.txt,0,1,0,0.5774
PMC521732.txt,0,6,0,0.5774
PMC538263.txt,0,0,0,0.0000
PMC368168.txt,0,0,0,0.0000
PMC406398.txt,0,0,0,0.0000
PMC423130.txt,0,0,0,0.0000
PMC538262.txt,0,1,0,0.5774
PMC521733.txt,0,0,0,0.0000
PMC467000.txt,5,0,2,0.7505
PMC538276.txt,0,0,0,0.0000
PMC521727.txt,0,0,0,0.0000
PMC529435.txt,0,0,1,0.5774
PMC521069.txt,0,0,0,0.0000
PMC359389.txt,0,0,22,0.5774
PMC529421.txt,0,0,1,0.5774
PMC523859.txt,0,0,1,0.5774
PMC550653.txt,0,0,0,0.0000
PMC406401.txt,0,0,0,0.0000
PMC550647.txt,0,0,0,0.0000
PMC535544.txt,0,0,0,0.0000
PMC449855.txt,0,0,0,0.0000
PMC193606.txt,0,0,0,0.0000
PMC517929.txt,0,2,0,0.5774
PMC535550.txt,0,0,0,0.0000
PMC509281.txt,0,0,3,0.5774
PMC526262.txt,0,0,2,0.5774
PMC539342.txt,0,0,0,0.0000
PMC534100.txt,0,0,0,0.0000
PMC545935.txt,0,1,0,0.5774
PMC534114.txt,1,125,0,0.5820
PMC544395.txt,0,3,0,0.5774
PMC526276.txt,0,0,0,0.0000
PMC509295.txt,0,0,0,0.0000
PMC539356.txt,0,0,0,0.0000
PMC520834.txt,0,0,0,0.0000
PMC545060.txt,0,1,0,0.5774
PMC514549.txt,0,0,3,0.5774
PMC449896.txt,0,0,0,0.0000
PMC517726.txt,0,0,0,0.0000
PMC545074.txt,0,8,0,0.5774
PMC520820.txt,0,0,0,0.0000
PMC514575.txt,0,0,0,0.0000
PMC509242.txt,0,2,0,0.5774
PMC546233.txt,0,1,0,0.5774
PMC533874.txt,0,0,0,0.0000
PMC533860.txt,0,0,0,0.0000
PMC546227.txt,0,0,0,0.0000
PMC544356.txt,0,0,0,0.0000
PMC514561.txt,0,0,0,0.0000
PMC545048.txt,0,3,0,0.5774
PMC535342.txt,0,8,0,0.5774
PMC506788.txt,0,6,0,0.5774
PMC535424.txt,0,0,0,0.0000
PMC553979.txt,0,0,1,0.5774
PMC539236.txt,0,2,0,0.5774
PMC524501.txt,0,1,0,0.5774
PMC544593.txt,0,0,0,0.0000
PMC554780.txt,0,0,0,0.0000
PMC544587.txt,0,0,0,0.0000
PMC521486.txt,0,0,0,0.0000
PMC549048.txt,0,0,2,0.5774
PMC551607.txt,0,0,0,0.0000
PMC551613.txt,0,2,0,0.5774
PMC544578.txt,0,0,0,0.0000
PMC522825.txt,0,0,2,0.5774
PMC532388.txt,0,0,0,0.0000
PMC521492.txt,0,0,1,0.5774
PMC546409.txt,0,0,1,0.5774
PMC553992.txt,0,6,0,0.5774
PMC549712.txt,0,2,0,0.5774
PMC549074.txt,1,2,0,0.7746
PMC544550.txt,0,0,0,0.0000
PMC552332.txt,0,12,0,0.5774
PMC544544.txt,0,1,0,0.5774
PMC522819.txt,0,0,1,0.5774
PMC552326.txt,0,0,0,0.0000
PMC553986.txt,0,0,0,0.0000
PMC340948.txt,0,0,0,0.0000
PMC515284.txt,0,1,0,0.5774
PMC517493.txt,0,7,0,0.5774
PMC503394.txt,0,0,0,0.0000
PMC516799.txt,0,16,0,0.5774
PMC439008.txt,0,0,0,0.0000
PMC544961.txt,0,0,0,0.0000
PMC546186.txt,0,0,0,0.0000
PMC544949.txt,0,0,0,0.0000
PMC393292.txt,0,1,0,0.5774
PMC340960.txt,0,0,0,0.0000
PMC555850.txt,0,1,0,0.5774
PMC546192.txt,0,0,0,0.0000
PMC314464.txt,0,0,0,0.0000
PMC516028.txt,0,0,0,0.0000
PMC521684.txt,0,2,0,0.5774
PMC549538.txt,0,0,1,0.5774
PMC314470.txt,0,0,0,0.0000
PMC521690.txt,0,0,1,0.5774
PMC548140.txt,0,0,0,0.0000
PMC516772.txt,0,0,0,0.0000
PMC535815.txt,0,0,0,0.0000
PMC514603.txt,0,5,0,0.5774
PMC548144.txt,0,51,0,0.5774
PMC314474.txt,0,0,0,0.0000
PMC516038.txt,0,0,1,0.5774
PMC521694.txt,0,0,0,0.0000
PMC549528.txt,0,0,0,0.0000
PMC548150.txt,0,0,0,0.0000
PMC535805.txt,1,0,0,0.5774
PMC514613.txt,0,0,0,0.0000
PMC535811.txt,0,5,0,0.5774
PMC514607.txt,0,0,0,0.0000
PMC549514.txt,0,0,0,0.0000
PMC516776.txt,0,0,0,0.0000
PMC544965.txt,0,0,2,0.5774
PMC340958.txt,0,0,0,0.0000
PMC518968.txt,0,4,0,0.5774
PMC503390.txt,0,0,3,0.5774
PMC512289.txt,0,0,0,0.0000
PMC516789.txt,0,0,0,0.0000
PMC517497.txt,0,0,1,0.5774
PMC546196.txt,0,0,0,0.0000
PMC544959.txt,0,0,0,0.0000
PMC340964.txt,0,0,0,0.0000
PMC555854.txt,0,0,0,0.0000
PMC521496.txt,1,0,0,0.5774
PMC543575.txt,0,0,0,0.0000
PMC522821.txt,0,0,0,0.0000
PMC497042.txt,0,0,0,0.0000
PMC551603.txt,0,0,0,0.0000
PMC544568.txt,0,0,0,0.0000
PMC532398.txt,0,0,0,0.0000
PMC546419.txt,0,0,0,0.0000
PMC553982.txt,0,0,0,0.0000
PMC549064.txt,0,16,0,0.5774
PMC544540.txt,0,0,0,0.0000
PMC522809.txt,1,14,0,0.6170
PMC552336.txt,0,17,0,0.5774
PMC544554.txt,0,0,0,0.0000
PMC549070.txt,0,3,0,0.5774
PMC553996.txt,0,0,0,0.0000
PMC547908.txt,0,0,2,0.5774
PMC535346.txt,0,0,0,0.0000
PMC554974.txt,0,0,0,0.0000
PMC535352.txt,0,0,0,0.0000
PMC553969.txt,0,0,0,0.0000
PMC524511.txt,0,0,0,0.0000
PMC544583.txt,0,0,1,0.5774
PMC544597.txt,0,0,0,0.0000
PMC554784.txt,0,0,0,0.0000
PMC524505.txt,0,1,1,0.8165
PMC539232.txt,0,0,0,0.0000
PMC520824.txt,0,0,1,0.5774
PMC514559.txt,0,0,0,0.0000
PMC545070.txt,0,0,2,0.5774
PMC533858.txt,0,2,0,0.5774
PMC517722.txt,0,0,0,0.0000
PMC545064.txt,0,0,0,0.0000
PMC520830.txt,0,0,0,0.0000
PMC514565.txt,0,0,0,0.0000
PMC544352.txt,0,0,0,0.0000
PMC520818.txt,0,0,0,0.0000
PMC509252.txt,0,0,126,0.5774
PMC546223.txt,0,0,0,0.0000
PMC533864.txt,0,2,0,0.5774
PMC555539.txt,0,0,0,0.0000
PMC533870.txt,0,0,0,0.0000
PMC546237.txt,0,0,0,0.0000
PMC509246.txt,0,0,1,0.5774
PMC547897.txt,0,0,0,0.0000
PMC545058.txt,0,3,0,0.5774
PMC514571.txt,0,18,0,0.5774
PMC544346.txt,0,5,0,0.5774
PMC535554.txt,0,0,0,0.0000
PMC449851.txt,0,0,0,0.0000
PMC517939.txt,0,0,0,0.0000
PMC535540.txt,0,0,0,0.0000
PMC509291.txt,0,0,1,0.5774
PMC539352.txt,0,0,0,0.0000
PMC535568.txt,0,1,0,0.5774
PMC534110.txt,0,1,1,0.8165
PMC534104.txt,0,0,1,0.5774
PMC524471.txt,0,4,0,0.5774
PMC509285.txt,0,0,0,0.0000
PMC521086.txt,0,0,0,0.0000
PMC523849.txt,0,2,0,0.5774
PMC385219.txt,0,0,0,0.0000
PMC546009.txt,0,0,0,0.0000
PMC517508.txt,0,0,0,0.0000
PMC406405.txt,0,0,0,0.0000
PMC550657.txt,0,0,0,0.0000
PMC406388.txt,0,27,0,0.5774
PMC368178.txt,0,0,0,0.0000
PMC529419.txt,0,0,0,0.0000
PMC538272.txt,0,0,1,0.5774
PMC538266.txt,0,0,0,0.0000
PMC423134.txt,0,3,0,0.5774
PMC529425.txt,0,0,0,0.0000
PMC521079.txt,0,0,4,0.5774
PMC544193.txt,0,0,0,0.0000
PMC544187.txt,0,0,0,0.0000
PMC544839.txt,0,0,0,0.0000
PMC529431.txt,0,0,1,0.5774
PMC529430.txt,0,5,0,0.5774
PMC544838.txt,0,3,0,0.5774
PMC521078.txt,0,0,0,0.0000
PMC529424.txt,0,0,0,0.0000
PMC544192.txt,0,0,0,0.0000
PMC538267.txt,0,0,0,0.0000
PMC423135.txt,0,0,0,0.0000
PMC368179.txt,0,2,0,0.5774
PMC406389.txt,0,0,0,0.0000
PMC538273.txt,0,0,0,0.0000
PMC548794.txt,0,0,0,0.0000
PMC406404.txt,0,0,0,0.0000
PMC523860.txt,0,0,0,0.0000
PMC517509.txt,0,0,0,0.0000
PMC546008.txt,0,0,0,0.0000
PMC523848.txt,0,0,0,0.0000
PMC534105.txt,0,0,0,0.0000
PMC509284.txt,0,0,1,0.5774
PMC535569.txt,0,0,0,0.0000
PMC539353.txt,0,0,0,0.0000
PMC509290.txt,0,0,0,0.0000
PMC534111.txt,0,0,0,0.0000
PMC517938.txt,0,3,0,0.5774
PMC535541.txt,0,0,0,0.0000
PMC535555.txt,0,0,0,0.0000
PMC546236.txt,0,0,1,0.5774
PMC533871.txt,0,0,0,0.0000
PMC544347.txt,0,0,0,0.0000
PMC514570.txt,0,8,0,0.5774
PMC545059.txt,0,0,0,0.0000
PMC547896.txt,0,0,26,0.5774
PMC509247.txt,0,0,0,0.0000
PMC520819.txt,0,0,1,0.5774
PMC514564.txt,1,0,0,0.5774
PMC555538.txt,0,3,0,0.5774
PMC533865.txt,0,0,0,0.0000
PMC546222.txt,0,0,0,0.0000
PMC517723.txt,1,0,0,0.5774
PMC520831.txt,0,0,0,0.0000
PMC526298.txt,1,0,1,0.8165
PMC545065.txt,0,0,1,0.5774
PMC545071.txt,0,0,0,0.0000
PMC514558.txt,0,0,0,0.0000
PMC520825.txt,0,0,0,0.0000
PMC533859.txt,0,0,1,0.5774
PMC532400.txt,0,0,0,0.0000
PMC554785.txt,0,0,0,0.0000
PMC544596.txt,0,5,0,0.5774
PMC539233.txt,0,0,0,0.0000
PMC524504.txt,0,0,1,0.5774
PMC524510.txt,0,0,1,0.5774
PMC544582.txt,0,0,1,0.5774
PMC535353.txt,0,0,0,0.0000
PMC553968.txt,0,0,0,0.0000
PMC547909.txt,0,0,0,0.0000
PMC554975.txt,0,9,0,0.5774
PMC535347.txt,0,0,0,0.0000
PMC544555.txt,0,0,0,0.0000
PMC522808.txt,0,3,0,0.5774
PMC553997.txt,0,0,0,0.0000
PMC553983.txt,1,0,104,0.5829
PMC544541.txt,0,0,0,0.0000
PMC552323.txt,0,0,0,0.0000
PMC549065.txt,0,0,0,0.0000
PMC544569.txt,0,0,0,0.0000
PMC555464.txt,0,0,0,0.0000
PMC551602.txt,0,1,0,0.5774
PMC521483.txt,0,0,5,0.5774
PMC546418.txt,0,0,0,0.0000
PMC532399.txt,0,0,0,0.0000
PMC543574.txt,0,0,0,0.0000
PMC521497.txt,0,1,0,0.5774
PMC551616.txt,0,0,0,0.0000
PMC522820.txt,0,0,1,0.5774
PMC544958.txt,0,1,0,0.5774
PMC546197.txt,0,0,0,0.0000
PMC503385.txt,0,0,0,0.0000
PMC512288.txt,0,0,0,0.0000
PMC517496.txt,0,0,0,0.0000
PMC516788.txt,0,0,0,0.0000
PMC518969.txt,0,0,0,0.0000
PMC515295.txt,0,15,0,0.5774
PMC340959.txt,0,0,0,0.0000
PMC544964.txt,0,0,0,0.0000
PMC503391.txt,0,0,0,0.0000
PMC549515.txt,0,0,1,0.5774
PMC514606.txt,0,0,0,0.0000
PMC535810.txt,0,1,0,0.5774
PMC516777.txt,0,0,0,0.0000
PMC514612.txt,0,0,0,0.0000
PMC535804.txt,0,0,0,0.0000
PMC549529.txt,0,0,2,0.5774
PMC521681.txt,0,1,0,0.5774
PMC548151.txt,0,0,0,0.0000
PMC548145.txt,0,0,0,0.0000
PMC516039.txt,0,0,0,0.0000
PMC521695.txt,0,0,0,0.0000
PMC314475.txt,0,0,0,0.0000
PMC314463.txt,0,0,0,0.0000
PMC521683.txt,0,0,0,0.0000
PMC314477.txt,0,0,0,0.0000
PMC521697.txt,0,0,3,0.5774
PMC548147.txt,0,0,0,0.0000
PMC516775.txt,0,5,0,0.5774
PMC535812.txt,0,0,0,0.0000
PMC514604.txt,0,0,1,0.5774
